Date,Meeting / Source,Action Item,Description,Responsible,Requested By,Status,Priority,Results
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Get Giffen license set up and bring in usable equipment,Stand up the Giffen license/space and move equipment there (e.g. scale) to a permanent setup.,Robert / Ned,Ned,In Progress,High,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Talk to Dennis about pantograph equipment needs,Coordinate with Dennis on what's needed to set buildings up for pantograph use.,Robert,Ned,Not Started,Medium,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing","Get full Canix and ConnectTeam access, link to executive dashboard",Obtain complete Canix and ConnectTeam access (beyond sandbox) and plug data into a single executive dashboard for spend/sales/inventory visibility.,Robert,Robert,In Progress,High,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Advertise / lease out excess building space (~$30k/month),Continue conversations to sublease unused warehouse space (trimming/storage) to offset the ~$30k/month facility cost.,Ned,Ned,Complete,High,Not going to lease Artemis
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Follow up on solar system financing/installation status and quote,Check status of the solar contractor quote and financing since interest is accruing on an undeployed loan and the tax rebate has a deadline.,Ned / Dennis,Ned,,,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Repair or replace non-working freezer containers,Address freezer container that is broken/full of totes and crates; figure out disposal/replacement.,Facility/Ops team,Ned,Not Started,Medium,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Source larger unmarked box trucks and a Class A driver,Find bigger unmarked trucks (42-bin capacity) for harvest transport and hire/assign a Class A licensed driver; consider posting a job description.,Ned / Robert,Ned,In Progress,High,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Ask Dennis about tractor-trailer availability/driver for Comstock,Confirm whether Dennis's tractor-trailer and a driver can be used/hired for Comstock harvest hauling.,Robert,Ned,Complete,Medium,Need to find a generator - but he said yes
2026-09-02,Reasoning Note on Operational & Compliance Failures,Lab test recovered pre-roll product for kratom contamination,Send a sample of the recovered/recycled pre-rolls for independent lab testing to confirm no kratom presence before further action.,Robert / Sheree,Robert,Unsure,,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Finalize director/VP responsibilities document (MSA),"Review and finalize the implementation/responsibilities document, adding items not currently listed (sales analytics, S&OP planning, data collection).",Sheree / Robert,Sheree,Not Started,Medium,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Put together 30/60/90-day plan for Ned,Draft a 30/60/90 day plan to give Ned visibility into priorities and progress.,Robert,Sheree,Not Started,High,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Set up email forwarding/group for sales inbox,Configure email forwarding or a group alias so sales-related messages route to the right people.,Sheree,Sheree,Complete,Low,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Finalize services sheet (remove address & internal notes),Update the services sheet by removing the address and the internal 'teal' notes before sending externally.,Sheree,Sheree,Complete,High,Service sheet complete
2026-09-02,Reasoning Note on Operational & Compliance Failures,Confirm whether truck rental vendor charges mileage on top of monthly fee,Get clarity from the truck rental vendor on whether mileage is billed in addition to the monthly rental rate; note the answer on the contract.,Erica / Robert,Sheree,Complete,High,"""Box truck Tuck or Rail: $160/day, $800/week, $3466/Month, $0.18/mile
Reefer: $190/day, $950/week, $4117/month, $0.18/mile, $1.50/ Reefer hour  """
2026-09-02,Reasoning Note on Operational & Compliance Failures,Reorganize metric farm coverage to reduce redundant staffing,"Stop sending two people to farms when one (e.g., George) can handle metric tagging alone; reassign remaining staff to farms lacking coverage (Comstock, Sulfur Bank).",Robert,Robert,Not Started,Medium,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Have Erica assess Comstock/Sulfur Bank metric/tagging status,Send Erica to review what metric tagging/plant work is outstanding at Comstock and Sulfur Bank nursery.,Erica,Robert,Not Started,High,
2026-09-02,Reasoning Note on Operational & Compliance Failures,Contact Sandy (Emerald Sun) about transition plan and remaining scope,Reach Sandy to clarify what she still needs from Robert as he winds down Emerald Sun work and transitions to Two CW.,Robert,Robert,Complete,Medium,not much
2026-09-02,Reasoning Note on Operational & Compliance Failures,Decide Robert's Sept compensation structure (1099 vs. payroll),Determine whether Robert can remain a 1099 contractor for role/liability reasons or needs to move to payroll/salary starting a set date.,Ned / Robert,Ned,Not Started,Medium,
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Fix labeling sequence - apply strain/weight stickers before takedown,"Change process so strain/UID labels are applied before material is taken down, not after, to prevent mislabeling.",Alonso / floor team,Alonso,Unsure,,
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Reserve UIDs in advance based on estimated box count/weight,Print/reserve the correct number of UID stickers ahead of takedown based on expected total weight per box size.,Alonso / floor team,Alonso,Unsure,,
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Switch out disliked turkey bags for preferred type; explore return,Replace current turkey bags (that Ned dislikes) with the correct type sourced from Adobe; look into returning the unwanted stock.,Jonathan / team,Alonso / Ned,Unsure,,
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Ask buyer whether they'd accept flower priced as smalls instead of breaking down smalls,Ask the buyer (needing 500 lbs smalls) if they'd take whole flower at the smalls price to avoid breaking down flower unnecessarily.,Alonso,Alonso / team,Complete,Medium,Ned sorted with Jeeter
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Build tablet/iPad digital version of production forms,"Digitize the existing paper production forms onto tablets, mirroring current layout so there's no learning curve for staff.",Robert,Alonso,In Progress,High,Fairly complete - will turn on at Adobe
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,Assign a dedicated floor manager to continuously monitor stations,"Designate someone (floating role) to walk stations, catch mistakes (e.g., manifest/weight mismatches) in real time, and enforce process.",Robert / Alonso,Alonso,In Progress,High,Lalo?
2026-09-02,Weekly Meeting - Labeling Process & Production Strategy,"Clarify reporting chain for Juan, Adam, and farm crew",Determine and confirm who Juan reports to / is managed by (Adam vs. Two CW) to resolve confusion over authority on-site.,Robert / Alonso,Robert,Complete,Medium,Likely gone soon
2026-09-02,Robert & Alonzo - Processing Discussion,Text/photo daily production data to Robert,Have a designated person text a picture of the daily production spreadsheet data to Robert every day.,Alonso / team,Robert,Complete,High,
2026-09-02,Robert & Alonzo - Processing Discussion,Share existing Google Sheet inventory tracker with Robert,"Give Robert access to the Google Sheet already shared with Yali, Jonathan, and Ned showing daily inventory by stage/farm.",Alonso,Robert,Not Started,High,
2026-09-02,Robert & Alonzo - Processing Discussion,Set up iPads at each station mirroring current paper forms,"Configure the already-purchased iPads (7 on hand) so each station logs data exactly like the paper form, saving throughout the day.",Robert,Alonso / Robert,In Progress,Medium,Need to find the rest of the ipads
2026-09-02,Robert & Alonzo - Processing Discussion,Fix dry-to-sale UID reassignment and bag-level labeling,"Ensure every bag (not just the box) gets the new sale UID promptly after trim/sort, and assign a clear owner (Justin) for physically labeling bags.",Juan / Justin,Robert / Alonso,In Progress,High,need to check in on
2026-09-02,Robert & Alonzo - Processing Discussion,Stage boxes/materials at Adobe ahead of the move,Move boxes and materials to Adobe in advance of the facility transition so everything is lined up and ready before the 15th deadline.,Team,Alonso,In Progress,Medium,Need to clear DCC hold to bring anything in. 
2026-09-02,Robert & Alonzo - Processing Discussion,Build updated production tracking sheet (successor to 2025 sheet),Create a new version of the production/inventory tracking sheet with a refreshed format for the coming year.,Robert / Alonso,Alonso,In Progress,Medium,"Sheet created with workflow, need to train Yali and bring in historical data"
2026-09-02,Robert & Alonzo - Processing Discussion,Roll out TV scoreboard with daily ranking bonuses,Put a TV on the wall ranking bucking/trimming performance daily with a cash prize (e.g. $75 Amazon card) tied to quality-adjusted output.,Robert / Alonso,Alonso / Robert,Not Started,Low,
2026-09-02,Robert & Alonzo - Processing Discussion,Build separate intake form for smalls,"Create a dedicated tracking form for smalls output, which is currently not being captured.",Robert,Alonso,In Progress,High,Part of app created for iPads
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Enter all production data from 8/24 to present into the production tracker,Collect and input the backlog of trimming/production forms (missing since Cynthia left) into the tracker.,Robert,Robert / Autumn,In Progress,High,Need to confirm all was collected and input
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Assign an owner to track FLC (farm labor contractor) time,Determine who tracks farm labor contractor hours now that Cynthia has left; discuss whether it's Juan/Justin/George or a new hire.,Autumn / Sheree,Autumn,In Progress,High,Need to check in to see who was decided
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Hire an in-house finance/ops person to track FLC & production data,Create and fill a job description for a Two CW finance/ops person to replace Cynthia's tracking function at Artemis/Adobe.,Sheree,Autumn,Complete,Low,Likely unnecessary 
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Fix pound-out bottleneck by staggering shift start/end times,"Stagger the two lead 'pound out' employees' schedules (start later, stay later) so daily weighing isn't perpetually behind.",Alonzo,Autumn,Not Started,Medium,"Need to create a schedule for how many people are in each station, proportionally to output needs.  It would be proportional increases if more was needed daily. "
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Train team on prompt chain-of-custody form handoff,Train staff to hand off chain-of-custody forms immediately at each processing station transfer instead of batching them days later.,Alonzo,Autumn,In Progress,High,
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Hold in-person meeting Tuesday 10am to close FLC/data gaps,"Meet on-site (Robert, Autumn, Juan, Erica) to review data gaps and finalize plan through the Sept 15 move and beyond.",Autumn / Robert / Juan / Erica,Autumn,In Progress,Medium,
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Plan and coordinate trucking/logistics for Artemis-to-Adobe move,"Plan the move of remaining material/equipment from Artemis to Adobe (2 trucks), aiming to finish by the 15th (grace to 16th-17th).",Autumn / Alonzo,Autumn,In Progress,,
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks","Prioritize bucking, then trimming, ahead of the facility move","Push to get all remaining material bucked (off the stick) by Thursday, then pivot to trimming, before consolidating and moving.",Alonzo / Juan crew,Autumn,Unsure,,
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",CC Robert on third-party co-packing sales activity emails,Loop Robert into sales emails for drying/trimming co-pack contracts so he can take over that client relationship.,Autumn,Autumn,Not Started,High,Need to request from Autumn
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks","Print, laminate, and post required pesticide/FLC training posters at farms","Print the required compliance posters from the state site, laminate them, and post at farm sheds (Wildcat, Bartlett) ahead of inspection.",Autumn,Autumn (self),Unsure,,
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Push KSS for faster NorCal/SoCal inventory transfer turnaround,Text David and press KSS/Kenyon on the 7-10 day (vs. promised 2-3 day) transfer delay between Compass and KSS Live inventory.,Nikki,Nikki (self) / team,In Progress,High,Emailed Kenyon showing which are in encoumpass and not live 9-10-26
2026-09-04,"Facility Move to Adobe, FLC Time Tracking, Bottlenecks",Source hash for infused pearls production at Artemis,"Get hash (via Emerald Sun) for infused pearl production before facility move, targeting Tuesday.",Robert,Ned,In Progress,High,Have 6000g of hash for prerolls set aside and ready.  Need to figure out how to get into metrc and transfered to Dennis in seb
2026-09-04,Planning Inventory Optimization & Production Workflow,Address recurring NorCal/SoCal inventory imbalance with KSS,Continue escalating with KSS to tighten inventory balancing between Northern and Southern California.,Nikki,Nikki (self),In Progress,Medium,
2026-09-04,Planning Inventory Optimization & Production Workflow,Set evergreen strain target at 2 per phenotype,"Align cultivation/production on maintaining 2 (not 3-4) evergreen strains per phenotype, consistently available year-round.",Robert / cultivation,Nikki,Not Started,Low,Nothing can be done about this for 2026 harvest
2026-09-04,Planning Inventory Optimization & Production Workflow,Build production-request button/workflow on new production sheet,Add a feature to the production sheet letting Nikki/Robert flag low-supply SKUs and auto-generate a flour/production request that processing can confirm.,Robert,Robert (self) / Nikki,In Progress,Medium,Created Production request process - need to get Yali onboarded
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Finalize per-service pricing on Summer Rosa Farms pricing sheet,"Lock in rates: drying $3/lb (scaled by acreage), storage free 30 days then $15/mo per 4x4 box, hand bucking $6/lb, 100% hand trim $7/lb, machine+hand finish $65/lb, trim-to-smalls $35/lb, pound-out $3/bag + labor, harvest labor $25/hr.",Sheree / Robert,Sheree / Robert,Complete,High,Pricining sheet created
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Set transportation pricing as flat hourly rates (no tiered 4hr/8hr pricing),"Simplify transport pricing to a straight hourly rate: cargo van ~$125/hr, box truck w/ lift gate ~$150-175/hr, 40ft reefer ~$300/hr.",Sheree / Robert,Sheree / Robert,Complete,High,Pricining sheet created
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Confirm whether truck rental vendor charges mileage on top of monthly fee,"Verify with the rental vendor if mileage is billed in addition to the ~$5,500-6,000/month rate (noted to check).",Robert,Robert (self),Complete,High,Miles are additional.  See other task that is the same. 
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Reserve at least 4 rental trucks for Oct 5 and Oct 10 harvest,"Book enough rental trucks (at least 3 by Oct 5, one more by Oct 10) to cover harvest transport needs.",Robert,Robert / Ned,Complete,High,Have trucks booked - but they arent the big Ryder ones we want and can't fit as many totes. 
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Add metric in/out recognition policy note to pricing/contract,"Document that metric tagging happens once material comes in and once it leaves, regardless of how long it's stored, and add operating terms (leave on stem, 2-week notice for trim requests) to the pricing sheet.",Sheree,Sheree / Robert,Complete,High,Pricining sheet created
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,"Add testimonials, awards, and terpene test data to pricing sheet/marketing",Gather 1-2 line reviews from larger farm clients and lab data (terpene % vs. state average) to strengthen the pricing sheet as a sales tool.,Robert,Robert / Ned,Not Started,Low,We think this is critical for right now?  Could build a website and include these on it. 
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Contact Emily (Leaf) re: buying trim and farmer referral list,Reach out to Emily about picking up her extract/trim and having her distribute the Summer Rosa pricing sheet to her farmer network.,Ned,Robert (self),In Progress,High,Check with Ned to see if he has completed this
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Find a mass-email platform alternative to Google/Mailchimp for 600-contact list,"Identify a cold-email-appropriate service (not Google, which flags for phishing) to send the pricing sheet to ~600 contacts; consult Claude for options.",Robert,Ned / Robert,Complete,Medium,"Just using direct emails, seems to be working. "
2026-09-03,Review Summer Rosa Farms Pricing Sheet & Harvest Logistics,Set up sales@ email address and dedicated phone line/number,"Create a sales@summerrosafarms.com address and get a phone (or Google Voice number) for inbound client calls, likely routed to Jonathan.",Robert / Erica,Ned,Complete,High,created phone number and service@2cwproductions.com
2026-08-26,Ned Hiring Discussion,Finalize Robert's compensation package (~$180k range),"Negotiate salary/cash equivalent for the first month or two, with a plan to move to salary (~$180k) plus KPIs starting January 1.",Ned,Ned,In Progress,Medium,
2026-08-26,Ned Hiring Discussion,Get Canix sandbox access for Robert,Have Sheree request a Canix sandbox environment so Robert can evaluate the platform before further rollout.,Sheree,Robert / Ned,Complete,Medium,Have sandbox - I requested access to all licenses we have in Canix
2026-08-26,Ned Hiring Discussion,Scout Ken Olsen's Skaggs properties for additional grow acreage,"Do a full-day tour of Ken Olsen's ~10,000 connected acres to circle areas suitable for planting/expansion.",Ned / Robert,Ned,Complete,Medium,Ned toured and is picking some spaces to apply for permits - do I need to do anything to push this along to the next phase?
2026-08-26,Ned Hiring Discussion,Draft joint-venture / sublease structure for expanded grow space (60/40 split),"Develop a JV framework where outside operators pay labor/state license costs and Two CW provides land, permits, and rent/taxes for a 60/40 output split.",Ned,Ned (self),Not Started,Low,
2026-08-26,Ned Hiring Discussion,Connect Robert with Autumn on Emerald Sun equipment sale,"Have Robert reach out to Autumn, who wants to pay him to help catalog/sell Emerald Sun's remaining equipment/assets.",Robert,Ned,Not Started,Low,"Follow up after current ""sale"" or artemis falls through"
2026-08-26,Ned Hiring Discussion,Make official job offer to Robert,Formalize and send Robert an official offer for the role discussed.,Ned,Ned (self),Complete,Medium,got the Director JD.  Changing it to VP
2026-08-26,Niki Marketing Sync,Get high-quality flower photography for sell sheet,"Have Billy set aside flower for Mac to hand off to Vinny, who will shoot high-quality photos using his light box.",Vinny / Billy / Mac,Nikki,Complete,Low,
2026-08-26,Niki Marketing Sync,Digitize Artemis paper production forms electronically,"Capture the data currently being handwritten on paper (drying/processing/pre-roll) into a digital, reportable record.",Robert,Robert (self),In Progress,High,App created - will roll out at Adobe
2026-08-26,Niki Marketing Sync,Resolve Spark Plug billing dispute and dashboard lockout,"Get Spark Plug to acknowledge the June cancellation request in writing, stop July/August billing, and forward disgruntled bud-tender emails since the dashboard is locked pending payment.",Nikki / Sheree,Nikki,Not Started,Medium,Not sure on status
2026-08-26,Niki Marketing Sync,Mark up auto-generated menu with named image/header placement zones,"Annotate the menu (via Canva) labeling each image and header slot (e.g., Howie Banner, Howie Eight) so marketing can swap images by filename.",Nikki,Robert,Complete,Medium,Auto-Menu created
2026-08-26,Niki Marketing Sync,"Fix menu PDF formatting for print (page breaks, scaling, contrast)","Set the menu to page-break per brand, fix scale-to-fit vs fill-page printing issue, and darken the low-contrast gray fee text.",Nikki,Robert / Nikki,Complete,Medium,Auto-Menu created
2026-08-26,Niki Marketing Sync,"Design Labor Day in-store promo: buy 2 eighths, get pre-roll case","Build and roll out a Labor Day promo (buy two eighths, get a case of pre-rolls) to move eighth inventory and use pre-roll surplus.",Nikki,Nikki (self),Complete,Medium,Auto-Menu created
2026-08-26,Niki Marketing Sync,Determine what to do with degraded/unstored rosin inventory,Check whether the Airway rosin was stored/cold-chained properly and decide if it should go into the compassion order given quality concerns.,Nikki,Nikki (self),Not Started,Low,
2026-08-26,Sheree Job Offer / Canix Discussion,Officially offer Robert the Director of Operations role,"Send Robert the job description and formally discuss taking on the Director of Operations role overseeing production, bulk sales, and Canix implementation.",Sheree,Sheree / Ned,Complete,Medium,Recieved - title changed to VP
2026-08-26,Sheree Job Offer / Canix Discussion,Get Robert a tablet and Canix sandbox access,Provide Robert one of the purchased tablets and get him access to the Canix sandbox to explore modules before rollout.,Sheree,Robert,Complete,Medium,got iPad and sandbox access
2026-08-26,Sheree Job Offer / Canix Discussion,CC Robert on email to Canix rep (Malcolm) for sandbox access,Loop Robert into the outreach to Canix contact Malcolm so he becomes the point of contact for sandbox setup.,Sheree,Sheree (self),Complete,Medium,
2026-08-26,Sheree Job Offer / Canix Discussion,Coordinate Friday meetup to hand off tablet,Arrange to meet Friday (Artemis or Healdsburg area) so Sheree can hand Robert a tablet.,Sheree / Robert,Robert,Complete,Medium,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Verify 'candy' wording compliance rule for packaging vs. non-customer-facing stickers,Confirm whether the restricted term 'candy' is allowed on internal/non-customer-facing stickers even though not allowed on retail packaging.,Nikki,Nikki (self),Unsure,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Add license number to one-pager leave-behind,Insert the license number into the bottom of the field-kit one-pager using Canva.,Nikki,Nikki (self),Unsure,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Consolidate all packaging inventory into one location,"Gather scattered packaging (found boxes of indica/sativa tubes) into a single, known location.",Yali,Nikki,In Progress,High,Need to get all packaging in one location - robert to discuss with Yali and determine location
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Prep bulk flower and packaged goods for Network Trade Show (load-in Sept 20),"Set aside bulk flower and packaged product (pre-rolls, live resin from KSS warehouse) ahead of the Sept 23-24 Network trade show.",Yali / Nikki,Nikki,Unsure,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Design and order pop-up trade show banners,Design pop-up banners (featuring California State Fair awards) and order through Vista Print in time for the trade show.,Nikki,Nikki (self),Unsure,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Get high-resolution (2000px+) all-white and all-black logo files,Obtain the vector/AI or PDF version of the logo from Yali and export properly sized all-white/all-black logo files for trade show submission.,Yali,Nikki,Unsure,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Grant Robert full access to marketing Google Drive with walkthrough,Confirm Robert has access to the Sales & Marketing shared drive/folders and walk him through its structure on the next marketing call.,Yali,Yali (self),Complete,,
2026-08-28,"Niki/Yali Meeting - Packaging, Compliance, Trade Show Prep",Update production sheet to reference COA by strain/batch for lookup,File and reference the COA next to each strain/batch entry on the production spreadsheet so it's easy to find the right COA (flower vs. pre-roll).,Yali,Yali (self),Complete,,
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Complete Two CW bank account setup and wire funds,Finish setting up the Two CW bank account and get Kiva's wire into Allgood Properties so bills can start being paid.,Sheree,Sheree (self),Unsure,,
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Coordinate pre-roll destruction event attendance,"Confirm the four attendees (Danny, Kevin, Jonathan, Alonso/Sheree) plus a metric person (Juan) for the Adobe pre-roll destruction, aiming to complete within an hour.",Sheree,Sheree (self),Complete,,Destruction complete
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Prepare DCC timeline explanation for kratom/pre-roll weight discrepancy,Work with the team to lay out a clear timeline explaining how the 188lb-to-42lb pre-roll weight discrepancy occurred for the DCC.,Sheree + team,Sheree,Complete,,Destruction complete
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Enforce regular Mobius machine cleaning cadence,Ensure Lalo/Andres clean the Mobius machines every few days using hot-swap kits to prevent gum-up and equipment damage.,Lalo / Andres,Sheree,Not Started,Medium,Robert needs to build out a full preventative maintenance plan on all equipment and facilities 
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Update SOPs with Sheree's notes,Incorporate Sheree's feedback into the SOP documents once time allows.,Juan,Sheree,Unsure,,
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Finalize and send California Paradise contract,Draft and send the contract for the California Paradise deposit/harvest deal (quarter-bay processing client).,Sheree,Sheree (self) / Robert,Unsure,,
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Create boilerplate processing contract template,"Build a reusable contract template for new drying/trimming/processing clients (e.g., Magic & AJ, 3-acre client).",Sheree,Sheree (self),In Progress,High,Check on comments via redline contract with Sheree
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Restore Metric platform password/access,Resolve the invalid password issue with Metric support to regain login access.,Sheree,Sheree (self),Unsure,,
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management","Grant Metric access to Justin, George, and admin rights to Erica","Set up Metric platform access for Justin and George, and elevate Erica to admin permissions.",Sheree,Sheree (self),Unsure,,Check with Sheree to see if this happened
2026-09-01,"Banking Setup, Compliance Actions, Inventory Management",Get fire extinguisher certification quote for Adobe,Follow up on the pending fire extinguisher certification quote for the Adobe facility.,Sheree,Sheree (self),Unsure,,Check with Sheree to see if this happened
